timestamp,pm2_5,pm10,no2,o3,pm2_5_lag24h,pm10_lag24h,no2_lag24h,o3_lag24h,pm10_lag6h,pm2_5_lag48h,pm10_lag48h,no2_lag48h,o3_lag48h,pm2_5_lag72h,pm10_lag72h,no2_lag72h,o3_lag72h,pm2_5_rolling_mean_6h,pm10_rolling_mean_6h,pm2_5_rolling_mean_12h,pm10_rolling_mean_12h,pm2_5_rolling_mean_24h,pm10_rolling_mean_24h,pm2_5_rolling_std_12h,pm10_rolling_std_12h,pm2_5_rolling_std_24h,pm10_rolling_std_24h,pm10_wind_interaction,pm25_pm10_ratio,pm2_5_lag2h,pm2_5_lag4h,pm2_5_lag8h,pm2_5_lag12h,pm2_5_lag18h,pm2_5_lag36h,pm2_5_lag60h,pm10_lag2h,pm10_lag4h,pm10_lag8h,pm10_lag12h,pm10_lag18h,pm10_lag36h,pm10_lag60h,pm2_5_rolling_q25_3h,pm2_5_rolling_q75_3h,pm2_5_rolling_min_3h,pm2_5_rolling_max_3h,pm2_5_rolling_q25_8h,pm2_5_rolling_q75_8h,pm2_5_rolling_min_8h,pm2_5_rolling_max_8h,pm2_5_rolling_q25_16h,pm2_5_rolling_q75_16h,pm2_5_rolling_min_16h,pm2_5_rolling_max_16h,pm2_5_rolling_q25_36h,pm2_5_rolling_q75_36h,pm2_5_rolling_min_36h,pm2_5_rolling_max_36h,pm2_5_rolling_q25_48h,pm2_5_rolling_q75_48h,pm2_5_rolling_min_48h,pm2_5_rolling_max_48h,pm10_rolling_q25_3h,pm10_rolling_q75_3h,pm10_rolling_min_3h,pm10_rolling_max_3h,pm10_rolling_q25_8h,pm10_rolling_q75_8h,pm10_rolling_min_8h,pm10_rolling_max_8h,pm10_rolling_q25_16h,pm10_rolling_q75_16h,pm10_rolling_min_16h,pm10_rolling_max_16h,pm10_rolling_q25_36h,pm10_rolling_q75_36h,pm10_rolling_min_36h,pm10_rolling_max_36h,pm10_rolling_q25_48h,pm10_rolling_q75_48h,pm10_rolling_min_48h,pm10_rolling_max_48h,pm2_5_cumulative_24h,pm2_5_hours_above_mean_24h,pm10_cumulative_24h,pm10_hours_above_mean_24h
2025-03-23 06:00:00,219.33,277.49,105.56,118.73,162.44,209.01,111.04,127.32,124.22,144.66,195.71,104.19,2.03,82.42,115.91,76.77,3.44,120.21833333333332,164.88333333333333,120.72083333333332,165.90416666666667,93.38791666666668,129.44541666666666,40.68157913676168,48.25717044380489,53.652634764847726,69.38140679255858,36.03766233766234,0.790122122554847,,,,,,,,,,,,,,,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,219.33,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,277.49,219.33,0.0,277.49,0.0
2025-03-23 07:00:00,150.4,175.96,25.02,211.72,20.48,32.77,9.94,150.2,105.11,98.76,137.01,66.49,12.16,85.73,111.31,62.38,9.48,133.1916666666667,176.69166666666663,121.7775,164.785,97.02,132.8475,41.32287768844931,47.81669972642701,54.46665872846874,69.58518703249871,24.783098591549297,0.8542542315119845,,,,,,,,,,,,,,,167.6325,202.09750000000005,150.4,219.33,167.6325,202.09750000000005,150.4,219.33,167.6325,202.09750000000005,150.4,219.33,167.6325,202.09750000000005,150.4,219.33,167.6325,202.09750000000005,150.4,219.33,201.3425,252.1075,175.96,277.49,201.3425,252.1075,175.96,277.49,201.3425,252.1075,175.96,277.49,201.3425,252.1075,175.96,277.49,201.3425,252.1075,175.96,277.49,369.73,0.0,453.4500000000001,0.0
2025-03-23 08:00:00,129.1,148.49,10.62,234.6,11.36,18.7,3.73,143.05,108.92,101.89,145.84,64.43,5.28,92.39,121.24,53.47,9.3,142.35833333333332,183.28666666666663,121.49166666666666,162.04916666666665,99.28666666666668,134.41833333333332,41.25354504509734,47.72373898678518,54.62911563774687,69.4910672812273,13.37747747747748,0.8688337034793727,219.33,,,,,,,277.49,,,,,,,139.75,184.865,129.1,219.33,139.75,184.865,129.1,219.33,139.75,184.865,129.1,219.33,139.75,184.865,129.1,219.33,139.75,184.865,129.1,219.33,162.22500000000002,226.725,148.49,277.49,162.22500000000002,226.725,148.49,277.49,162.22500000000002,226.725,148.49,277.49,162.22500000000002,226.725,148.49,277.49,162.22500000000002,226.725,148.49,277.49,498.83,0.0,601.94,0.0
2025-03-23 09:00:00,85.42,100.45,6.43,223.16,10.28,16.2,3.3,144.48,127.9,127.82,172.81,82.25,63.66,115.65,144.4,63.75,103.0,141.965,178.71166666666667,117.71583333333336,155.52083333333334,96.0775,129.895,42.3890424216476,50.5028172856514,52.99573290861954,67.94053403688694,13.045454545454549,0.8495275982098459,150.4,,,,,,,175.96,,,,,,,107.26,139.75,85.42,150.4,118.18,167.6325,85.42,219.33,118.18,167.6325,85.42,219.33,118.18,167.6325,85.42,219.33,118.18,167.6325,85.42,219.33,124.47,162.22500000000002,100.45,175.96,136.48000000000002,201.3425,100.45,277.49,136.48000000000002,201.3425,100.45,277.49,136.48000000000002,201.3425,100.45,277.49,136.48000000000002,201.3425,100.45,277.49,584.25,0.0,702.39,0.0
2025-03-23 10:00:00,44.49,56.14,4.37,188.83,9.93,15.19,3.51,145.91,161.1,14.3,22.04,7.11,128.75,10.56,14.81,2.59,143.05,130.4466666666667,161.21833333333333,110.80916666666668,145.675,97.50291666666664,131.55916666666664,47.15692881863766,57.53802165840989,51.01060967895641,65.47912112744939,5.057657657657658,0.7910739687055477,129.1,219.33,,,,,,148.49,277.49,,,,,,64.955,107.26,44.49,129.1,85.42,150.4,44.49,219.33,85.42,150.4,44.49,219.33,85.42,150.4,44.49,219.33,85.42,150.4,44.49,219.33,78.295,124.47,56.14,148.49,100.45,175.96,56.14,277.49,100.45,175.96,56.14,277.49,100.45,175.96,56.14,277.49,100.45,175.96,56.14,277.49,628.74,0.0,758.53,0.0
2025-03-23 11:00:00,40.47,52.07,5.1,181.67,9.64,14.59,4.2,145.91,208.78,12.08,18.92,6.6,124.45,10.95,14.35,4.16,141.62,111.53499999999998,135.1,104.91333333333334,137.21916666666667,98.7875,133.12083333333334,51.33830278976246,63.43134276284065,49.05239020458237,62.96688652994813,4.690990990990991,0.7757331799884991,85.42,150.4,,,,,,100.45,175.96,,,,,,42.48,64.955,40.47,85.42,54.7225,145.075,40.47,219.33,54.7225,145.075,40.47,219.33,54.7225,145.075,40.47,219.33,54.7225,145.075,40.47,219.33,54.105,78.295,52.07,100.45,67.2175,169.0925,52.07,277.49,67.2175,169.0925,52.07,277.49,67.2175,169.0925,52.07,277.49,67.2175,169.0925,52.07,277.49,669.21,0.0,810.6,0.0
2025-03-23 12:00:00,42.34,54.47,7.28,177.38,9.56,14.47,5.65,144.48,277.49,50.81,74.96,50.72,54.36,57.73,81.74,77.46,25.03,82.03666666666668,97.93,101.1275,131.40666666666667,100.15333333333336,134.7875,54.30668167914515,67.77765256984631,46.8675989558251,60.1564370222954,14.72162162162162,0.7758841854498809,44.49,129.1,,,,,,56.14,148.49,,,,,,41.405,43.415000000000006,40.47,44.49,43.415000000000006,139.75,40.47,219.33,43.415000000000006,139.75,40.47,219.33,43.415000000000006,139.75,40.47,219.33,43.415000000000006,139.75,40.47,219.33,53.27,55.305,52.07,56.14,55.305,162.22500000000002,52.07,277.49,55.305,162.22500000000002,52.07,277.49,55.305,162.22500000000002,52.07,277.49,55.305,162.22500000000002,52.07,277.49,711.5500000000001,0.0,865.07,0.0
2025-03-23 13:00:00,55.93,71.6,27.76,140.19,17.23,26.26,32.56,108.72,175.96,119.75,163.99,95.96,1.4,115.32,157.85,93.22,0.56,66.29166666666667,80.53666666666666,99.74166666666667,128.61416666666665,101.76583333333332,136.67666666666668,55.30497098047801,69.6247461830965,44.496298030350765,57.241333550736464,10.08450704225352,0.780055788005579,40.47,85.42,,,,,,52.07,100.45,,,,,,41.405,49.135000000000005,40.47,55.93,43.9525,134.425,40.47,219.33,43.9525,134.425,40.47,219.33,43.9525,134.425,40.47,219.33,43.9525,134.425,40.47,219.33,53.27,63.035,52.07,71.6,55.7225,155.35750000000002,52.07,277.49,55.7225,155.35750000000002,52.07,277.49,55.7225,155.35750000000002,52.07,277.49,55.7225,155.35750000000002,52.07,277.49,767.48,0.0,936.67,0.0
2025-03-23 14:00:00,82.0,104.94,54.84,87.26,37.59,55.82,67.86,62.23,148.49,115.31,152.57,95.96,0.05,108.32,145.75,82.94,3.67,58.44166666666666,73.27833333333334,100.4,128.2825,103.61625,138.72333333333333,55.01826870148761,69.73648062202064,42.594215754734456,55.06123047525615,14.780281690140846,0.7806549885757808,42.34,44.49,219.33,,,,,54.47,56.14,277.49,,,,,49.135000000000005,68.965,42.34,82.0,43.9525,96.34,40.47,150.4,44.49,129.1,40.47,219.33,44.49,129.1,40.47,219.33,44.49,129.1,40.47,219.33,63.035,88.27,54.47,104.94,55.7225,115.8275,52.07,175.96,56.14,148.49,52.07,277.49,56.14,148.49,52.07,277.49,56.14,148.49,52.07,277.49,849.48,0.0,1041.61,0.0
2025-03-23 15:00:00,104.26,134.57,76.77,50.78,64.1,92.62,93.22,33.26,100.45,84.81,118.4,72.66,1.11,86.78,119.2,62.38,15.91,61.58166666666667,78.96499999999999,101.77333333333333,128.83833333333334,105.28958333333333,140.47125,54.88012677783749,69.75973243710855,41.75488791789808,54.19305549225802,1345.6999999999998,0.7741887577040173,55.93,40.47,150.4,,,,,71.6,52.07,175.96,,,,,68.965,93.13,55.93,104.26,43.9525,90.13,40.47,129.1,47.35,122.89,40.47,219.33,47.35,122.89,40.47,219.33,47.35,122.89,40.47,219.33,88.27,119.755,71.6,134.57,55.7225,112.3475,52.07,148.49,60.005,145.01,52.07,277.49,60.005,145.01,52.07,277.49,60.005,145.01,52.07,277.49,953.74,1.0,1176.18,1.0
