timestamp,hour,day_of_week,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,month,season,day_of_year,doy_sin,doy_cos,hour_since_midnight,is_peak_pollution_hour,is_low_pollution_hour,is_rush_hour,is_business_hours,hours_since_midnight,hours_until_midnight
2025-03-23 06:00:00,6,6,1,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,6,0,0,0,0,6,18
2025-03-23 07:00:00,7,6,1,0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,7,1,0,1,0,7,17
2025-03-23 08:00:00,8,6,1,0.8660254037844387,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,8,1,0,1,0,8,16
2025-03-23 09:00:00,9,6,1,0.7071067811865476,-0.7071067811865475,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,9,1,0,1,1,9,15
2025-03-23 10:00:00,10,6,1,0.4999999999999999,-0.8660254037844387,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,10,0,0,0,1,10,14
2025-03-23 11:00:00,11,6,1,0.258819045102521,-0.9659258262890682,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,11,0,0,0,1,11,13
2025-03-23 12:00:00,12,6,1,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,12,0,0,0,1,12,12
2025-03-23 13:00:00,13,6,1,-0.2588190451025208,-0.9659258262890684,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,13,0,1,0,1,13,11
2025-03-23 14:00:00,14,6,1,-0.4999999999999997,-0.8660254037844388,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,14,0,1,0,1,14,10
2025-03-23 15:00:00,15,6,1,-0.7071067811865471,-0.7071067811865479,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,15,0,1,0,1,15,9
2025-03-23 16:00:00,16,6,1,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,16,0,1,0,1,16,8
2025-03-23 17:00:00,17,6,1,-0.9659258262890684,-0.2588190451025206,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,17,0,0,1,1,17,7
2025-03-23 18:00:00,18,6,1,-1.0,-1.8369701987210287e-16,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,18,1,0,1,0,18,6
2025-03-23 19:00:00,19,6,1,-0.9659258262890684,0.2588190451025203,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,19,1,0,1,0,19,5
2025-03-23 20:00:00,20,6,1,-0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,20,1,0,0,0,20,4
2025-03-23 21:00:00,21,6,1,-0.7071067811865477,0.7071067811865474,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,21,0,0,0,0,21,3
2025-03-23 22:00:00,22,6,1,-0.5000000000000004,0.8660254037844384,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,22,0,0,0,0,22,2
2025-03-23 23:00:00,23,6,1,-0.2588190451025215,0.965925826289068,-0.7818314824680299,0.6234898018587334,3,1,82,0.9873494423939864,0.1585593851031347,23,0,0,0,0,23,1
2025-03-24 00:00:00,0,0,0,0.0,1.0,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,0,0,0,0,0,0,24
2025-03-24 01:00:00,1,0,0,0.2588190451025207,0.9659258262890684,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,1,0,0,0,0,1,23
2025-03-24 02:00:00,2,0,0,0.4999999999999999,0.8660254037844387,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,2,0,0,0,0,2,22
2025-03-24 03:00:00,3,0,0,0.7071067811865476,0.7071067811865476,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,3,0,0,0,0,3,21
2025-03-24 04:00:00,4,0,0,0.8660254037844386,0.5000000000000001,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,4,0,0,0,0,4,20
2025-03-24 05:00:00,5,0,0,0.9659258262890684,0.2588190451025207,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,5,0,0,0,0,5,19
2025-03-24 06:00:00,6,0,0,1.0,6.123233995736766e-17,0.0,1.0,3,1,83,0.989932495087353,0.141540295217043,6,0,0,0,0,6,18
