feature,importance_gain,importance_gain_normalized
aqi_numeric_lag2h,0.15605488,0.1560549
aqi_lag1h,0.14431725,0.14431727
aqi_numeric_rolling_q75_3h,0.09744098,0.097440995
pm10,0.082094364,0.08209437
pm2_5,0.05340938,0.053409386
aqi_numeric_rolling_q25_3h,0.051980324,0.05198033
pm2_5_rolling_min_3h,0.03396546,0.033965465
pm2_5_rolling_q25_3h,0.026654104,0.026654107
aqi_numeric_rolling_min_3h,0.023120956,0.023120958
aqi_numeric_rolling_q25_8h,0.014670782,0.014670784
pm2_5_lag18h,0.011698745,0.011698746
relative_humidity_rolling_q25_3h,0.011197535,0.011197536
temperature_rolling_min_16h,0.011014944,0.011014945
pm2_5_rolling_max_36h,0.009552502,0.009552503
aqi_numeric_rolling_mean_12h,0.009535291,0.009535292
relative_humidity_rolling_min_48h,0.008757726,0.008757727
aqi_numeric_rolling_mean_24h,0.008585652,0.008585653
pm2_5_rolling_mean_24h,0.008580558,0.008580559
pressure_lag48h,0.00756697,0.007566971
pm10_lag18h,0.0072699613,0.007269962
temperature_rolling_q25_16h,0.007141487,0.007141488
aqi_numeric_rolling_q25_16h,0.006680674,0.006680675
pm25_lag6h,0.006597477,0.006597478
aqi_numeric_lag4h,0.006463116,0.006463117
aqi_numeric_rolling_mean_6h,0.0061374027,0.0061374037
pm10_lag60h,0.0061020628,0.0061020637
pm25_temp_interaction,0.005576577,0.0055765775
pm25_dispersion,0.0052126795,0.00521268
pressure_lag24h,0.0051690117,0.005169012
aqi_lag6h,0.004836218,0.0048362184
pm10_rolling_q25_3h,0.0047838935,0.004783894
pm10_rolling_q25_36h,0.0047222096,0.00472221
temperature_rolling_mean_24h,0.004346437,0.0043464373
pm2_5_rolling_mean_6h,0.0042818575,0.004281858
pm10_rolling_q75_8h,0.004126553,0.0041265534
aqi_numeric_lag60h,0.0036758522,0.0036758527
pm2_5_lag12h,0.0036257124,0.0036257128
pm10_lag2h,0.003603428,0.0036034284
temperature_rolling_min_48h,0.0035501556,0.003550156
hour,0.0035032844,0.0035032849
pm2_5_rolling_q25_48h,0.0034933167,0.0034933172
relative_humidity_rolling_max_3h,0.0034401193,0.0034401198
pm2_5_rolling_std_24h,0.0034034182,0.0034034187
hour_cos,0.0033190975,0.003319098
pm10_rolling_q25_48h,0.003260155,0.0032601554
heat_index,0.0031338118,0.0031338122
relative_humidity_rolling_q75_3h,0.0031094186,0.003109419
pm25_humidity_interaction,0.003104875,0.0031048756
pm10_rolling_q25_16h,0.0029586677,0.0029586682
pm2_5_lag4h,0.0028358246,0.0028358249
doy_sin,0.002791042,0.0027910422
relative_humidity_rolling_min_8h,0.002768155,0.0027681552
temperature_rolling_q25_3h,0.0027175627,0.002717563
aqi_numeric_rolling_q25_36h,0.0026908491,0.0026908494
relative_humidity_lag72h,0.0026666261,0.0026666264
relative_humidity_rolling_q75_36h,0.0023811224,0.0023811227
pm2_5_lag2h,0.00228982,0.0022898202
aqi_numeric_rolling_std_12h,0.0021799277,0.002179928
temperature_lag24h,0.0021642728,0.002164273
pm2_5_hours_above_mean_24h,0.0021400594,0.0021400596
relative_humidity_rolling_mean_12h,0.0020371792,0.0020371794
dow_cos,0.0019961316,0.0019961318
pressure_tendency_3h,0.0018609382,0.0018609384
aqi_numeric_rolling_max_3h,0.0017481231,0.0017481233
aqi_numeric_rolling_q75_8h,0.0017272753,0.0017272756
relative_humidity_rolling_q75_16h,0.001710552,0.0017105523
hour_sin,0.0016798115,0.0016798117
pm2_5_rolling_min_8h,0.0016786129,0.0016786131
pm10_lag48h,0.0016690188,0.001669019
temperature_rolling_q25_36h,0.0016605044,0.0016605046
temperature_rolling_max_48h,0.001574746,0.0015747462
pm2_5_rolling_std_12h,0.0013685455,0.0013685456
pm2_5_rolling_q25_8h,0.0013600603,0.0013600604
wind_speed_lag24h,0.0013413632,0.0013413633
pm2_5_lag48h,0.0013180654,0.0013180656
pm10_wind_interaction,0.0012881471,0.0012881472
pm10_lag24h,0.001164801,0.0011648011
temperature,0.0011253215,0.0011253216
pm2_5_rolling_q75_3h,0.0011005371,0.0011005373
o3,0.0010623613,0.0010623614
day_of_year,0.0010494587,0.0010494589
no2_lag24h,0.0010359538,0.0010359539
aqi_lag3h,0.0009883828,0.000988383
relative_humidity_rolling_mean_6h,0.0009574533,0.0009574534
no2_lag72h,0.0009333693,0.0009333694
pm25_pm10_ratio,0.0008622205,0.0008622206
aqi_numeric_lag72h,0.0008494392,0.0008494393
pm10_lag4h,0.0008312501,0.0008312502
pm2_5_lag36h,0.0007959939,0.000795994
pm10_rolling_max_3h,0.0007854331,0.0007854332
o3_lag72h,0.0007793205,0.0007793206
temperature_rolling_mean_12h,0.0007303965,0.00073039654
pm10_rolling_std_12h,0.00072864443,0.0007286445
stability_index,0.0007273879,0.00072738796
relative_humidity_rolling_max_8h,0.0006835638,0.0006835639
pm2_5_rolling_max_3h,0.0006641815,0.00066418154
temperature_rolling_q25_48h,0.0006368626,0.00063686265
temperature_rolling_q75_48h,0.0006010167,0.00060101674
pm10_rolling_mean_6h,0.00058825384,0.0005882539
temperature_rolling_min_8h,0.00057514384,0.0005751439
relative_humidity_rolling_min_36h,0.0005708441,0.00057084416
wind_speed,0.00056108396,0.000561084
relative_humidity_rolling_mean_24h,0.00055815594,0.000558156
temperature_lag72h,0.0005466129,0.00054661295
relative_humidity_lag24h,0.00054465723,0.0005446573
pm10_rolling_std_24h,0.00048665865,0.0004866587
aqi_numeric_rolling_max_16h,0.0004748671,0.00047486715
relative_humidity,0.00046895622,0.00046895628
pm10_rolling_min_3h,0.00043651895,0.000436519
pm10_rolling_min_8h,0.0004228479,0.00042284795
no2,0.0004213946,0.00042139465
aqi_numeric_lag18h,0.00040733392,0.00040733398
aqi_numeric_rolling_std_24h,0.0003953691,0.00039536916
aqi_numeric_rolling_q75_36h,0.000380477,0.00038047705
temperature_rolling_min_3h,0.00037473234,0.0003747324
pm2_5_lag24h,0.0003679349,0.00036793496
temperature_rolling_q75_3h,0.0003610388,0.00036103884
pm2_5_lag60h,0.00035941415,0.00035941417
pm10_rolling_q75_48h,0.00035750144,0.00035750147
temperature_rolling_max_16h,0.0003487984,0.00034879844
temperature_rolling_max_8h,0.00034605648,0.0003460565
pressure_lag72h,0.00033942482,0.00033942485
temperature_rolling_mean_6h,0.00033897132,0.00033897135
is_peak_pollution_hour,0.000318065,0.00031806502
temperature_rolling_q75_36h,0.00031008592,0.00031008595
pressure,0.0003079647,0.00030796474
relative_humidity_rolling_q75_48h,0.00030410453,0.00030410456
aqi_numeric_lag8h,0.0002949553,0.00029495533
pm2_5_lag8h,0.0002929165,0.00029291652
aqi_numeric_lag36h,0.00028819081,0.00028819084
relative_humidity_rolling_max_48h,0.0002553275,0.00025532753
pm10_lag8h,0.00025019626,0.0002501963
aqi_numeric_rolling_q75_16h,0.00024831598,0.000248316
pm2_5_rolling_mean_12h,0.00024168847,0.0002416885
pm10_lag72h,0.00023519428,0.00023519431
pm2_5_rolling_max_48h,0.0002268581,0.00022685813
day_of_week,0.00022198533,0.00022198536
temperature_rolling_max_36h,0.00022149252,0.00022149255
pm2_5_rolling_q25_16h,0.00021335419,0.00021335421
relative_humidity_rolling_max_36h,0.00020135395,0.00020135398
temperature_lag48h,0.00019614103,0.00019614106
o3_lag48h,0.00018515887,0.0001851589
pm2_5_rolling_q75_8h,0.00018142814,0.00018142816
pm10_rolling_q25_8h,0.0001742613,0.00017426131
pm10_rolling_max_48h,0.00017129864,0.00017129866
coarse_particle_fraction,0.00017117118,0.0001711712
o3_lag24h,0.00016962695,0.00016962696
aqi_numeric_lag12h,0.00016843167,0.00016843168
pm10_rolling_min_48h,0.00015884578,0.0001588458
pm10_rolling_min_16h,0.00015006655,0.00015006657
temperature_rolling_q25_8h,0.0001499957,0.00014999571
pm2_5_cumulative_24h,0.00014772941,0.00014772943
pm10_rolling_max_16h,0.00014385988,0.0001438599
temperature_rolling_q75_8h,0.00014383339,0.0001438334
pm10_lag6h,0.00014172883,0.00014172884
pm10_rolling_mean_12h,0.00012957945,0.00012957946
relative_humidity_rolling_min_16h,0.00012891873,0.00012891875
relative_humidity_rolling_q25_16h,0.00011526641,0.000115266426
relative_humidity_rolling_q25_36h,0.000115019575,0.00011501959
aqi_numeric_rolling_max_8h,0.00011218372,0.000112183734
pm10_lag36h,0.00010984746,0.000109847475
pm2_5_rolling_min_16h,0.0001083223,0.00010832232
pm10_rolling_q75_3h,9.937031e-05,9.937032e-05
pm2_5_rolling_q75_16h,9.7313525e-05,9.731354e-05
temperature_rolling_q75_16h,9.520655e-05,9.520657e-05
pm10_cumulative_24h,8.940869e-05,8.94087e-05
pm2_5_lag72h,8.854573e-05,8.8545734e-05
hour_since_midnight,8.810026e-05,8.810027e-05
temperature_rolling_max_3h,8.488973e-05,8.488974e-05
pm2_5_rolling_q25_36h,7.3550815e-05,7.355082e-05
relative_humidity_rolling_q25_8h,7.083024e-05,7.083025e-05
aqi_numeric_rolling_max_36h,6.799677e-05,6.799678e-05
relative_humidity_rolling_min_3h,6.773491e-05,6.7734916e-05
pm2_5_rolling_max_16h,6.526495e-05,6.5264954e-05
pm10_hours_above_mean_24h,6.468533e-05,6.468534e-05
pm10_rolling_mean_24h,6.38095e-05,6.380951e-05
relative_humidity_rolling_q25_48h,6.287626e-05,6.2876265e-05
relative_humidity_lag48h,6.123195e-05,6.1231956e-05
pressure_tendency_6h,5.946179e-05,5.9461796e-05
pm2_5_rolling_q75_48h,4.703318e-05,4.7033187e-05
pm2_5_rolling_q75_36h,4.4630568e-05,4.463057e-05
no2_lag48h,4.4586843e-05,4.4586846e-05
aqi_numeric_rolling_min_8h,4.429409e-05,4.4294095e-05
pm10_lag12h,3.7952326e-05,3.795233e-05
pm2_5_rolling_max_8h,3.5592035e-05,3.559204e-05
dow_sin,3.5148365e-05,3.514837e-05
relative_humidity_rolling_q75_8h,3.50763e-05,3.5076304e-05
temperature_rolling_min_36h,2.6582731e-05,2.6582735e-05
pm10_rolling_q75_36h,2.4669842e-05,2.4669846e-05
pm2_5_rolling_min_48h,2.126201e-05,2.1262013e-05
is_morning_rush,0.0,0.0
is_rush_hour,0.0,0.0
is_weekend,0.0,0.0
is_business_hours,0.0,0.0
wind_chill,0.0,0.0
hours_since_midnight,0.0,0.0
hours_until_midnight,0.0,0.0
pm10_rolling_max_36h,0.0,0.0
aqi_numeric_rolling_min_16h,0.0,0.0
pm10_rolling_min_36h,0.0,0.0
is_evening_rush,0.0,0.0
pm10_rolling_q75_16h,0.0,0.0
aqi_numeric_lag48h,0.0,0.0
aqi_numeric_rolling_min_36h,0.0,0.0
month,0.0,0.0
pm10_rolling_max_8h,0.0,0.0
aqi_numeric_rolling_q25_48h,0.0,0.0
season,0.0,0.0
aqi_numeric_rolling_q75_48h,0.0,0.0
doy_cos,0.0,0.0
is_low_pollution_hour,0.0,0.0
aqi_numeric_rolling_min_48h,0.0,0.0
aqi_numeric_rolling_max_48h,0.0,0.0
pm2_5_rolling_min_36h,0.0,0.0
relative_humidity_rolling_max_16h,0.0,0.0
