timestamp,aqi_category,co,no,no2,o3,so2,pm2_5,pm10,nh3
2025-03-15 21:00:00,5.0,2136.23,1.08,76.77,3.44,8.7,82.42,115.91,104.37
2025-03-15 22:00:00,5.0,2162.93,0.89,76.77,3.98,9.54,87.39,118.85,117.54
2025-03-15 23:00:00,5.0,2029.42,0.48,71.29,6.44,9.42,87.58,115.99,119.57
2025-03-16 00:00:00,5.0,1869.2,0.3,62.38,9.48,8.58,85.73,111.31,110.45
2025-03-16 01:00:00,5.0,1735.69,0.52,54.15,8.94,5.78,83.38,107.71,64.34
2025-03-16 02:00:00,5.0,1869.2,4.58,54.84,2.95,5.36,86.09,112.17,49.14
2025-03-16 03:00:00,5.0,2296.45,21.9,53.47,9.3,6.32,92.39,121.24,54.21
2025-03-16 04:00:00,5.0,2536.77,29.95,55.52,25.39,6.97,96.09,124.9,51.68
2025-03-16 05:00:00,5.0,2750.4,26.38,65.12,52.21,7.63,106.57,135.96,47.12
2025-03-16 06:00:00,5.0,2616.88,15.87,63.75,103.0,8.11,115.65,144.4,42.56
2025-03-16 07:00:00,4.0,694.27,1.15,7.11,144.48,2.68,21.89,29.89,12.16
2025-03-16 08:00:00,4.0,480.65,0.4,2.72,144.48,1.55,11.66,16.55,7.66
2025-03-16 09:00:00,4.0,433.92,0.37,2.59,143.05,1.45,10.56,14.81,6.9
2025-03-16 10:00:00,4.0,417.23,0.37,2.78,143.05,1.46,10.22,14.04,6.52
2025-03-16 11:00:00,4.0,410.56,0.36,3.26,143.05,1.51,10.49,14.01,6.46
2025-03-16 12:00:00,4.0,420.57,0.3,4.16,141.62,1.55,10.95,14.35,6.78
2025-03-16 13:00:00,3.0,794.41,0.52,27.08,107.29,3.22,19.98,27.35,16.72
2025-03-16 14:00:00,3.0,1375.2,0.01,57.58,57.22,5.78,38.22,53.9,31.16
2025-03-16 15:00:00,4.0,1869.2,0.14,77.46,25.03,7.63,57.73,81.74,42.56
2025-03-16 16:00:00,5.0,2189.64,1.01,85.0,9.03,8.58,76.68,108.2,54.21
2025-03-16 17:00:00,5.0,2483.37,3.44,87.74,2.62,8.82,96.17,134.32,64.34
2025-03-16 18:00:00,5.0,2830.51,7.38,93.22,0.56,8.46,115.32,157.85,71.94
2025-03-16 19:00:00,5.0,2910.61,7.82,97.33,0.49,7.39,120.06,161.03,78.02
2025-03-16 20:00:00,5.0,2723.69,4.81,93.22,1.2,7.99,114.52,153.06,95.25
2025-03-16 21:00:00,5.0,2403.26,1.66,82.94,3.67,9.42,108.32,145.75,121.59
2025-03-16 22:00:00,5.0,2136.23,0.46,75.4,7.6,10.61,99.66,135.11,143.89
2025-03-16 23:00:00,5.0,1922.61,0.16,67.86,12.34,11.21,91.75,125.28,156.04
2025-03-17 00:00:00,5.0,1762.39,0.1,62.38,15.91,11.56,86.78,119.2,166.18
2025-03-17 01:00:00,5.0,1842.5,0.39,67.17,11.8,12.87,89.05,123.07,178.34
2025-03-17 02:00:00,5.0,2296.45,9.95,80.2,1.52,16.21,104.19,144.5,190.5
2025-03-17 03:00:00,5.0,3231.05,45.15,85.0,5.63,20.74,126.66,174.74,196.58
2025-03-17 04:00:00,5.0,3952.03,70.63,86.37,14.48,20.74,150.18,203.15,164.15
2025-03-17 05:00:00,5.0,4058.84,58.11,100.08,34.33,18.36,171.56,225.4,116.53
2025-03-17 06:00:00,5.0,3578.19,29.06,102.82,89.41,20.74,199.77,249.31,103.35
2025-03-17 07:00:00,4.0,974.66,2.12,15.42,164.51,9.18,64.97,76.41,24.83
2025-03-17 08:00:00,4.0,627.52,0.6,5.57,167.37,5.07,34.57,41.88,13.81
2025-03-17 09:00:00,4.0,567.44,0.4,4.63,165.94,4.35,28.47,35.34,12.16
2025-03-17 10:00:00,4.0,534.06,0.35,4.8,163.08,4.05,25.61,32.36,10.89
2025-03-17 11:00:00,4.0,520.71,0.35,5.65,158.79,3.87,23.98,30.88,10.26
2025-03-17 12:00:00,4.0,534.06,0.29,7.63,151.63,3.93,22.7,29.77,10.26
2025-03-17 13:00:00,3.0,1094.82,0.39,42.16,103.0,6.2,35.2,48.13,21.28
2025-03-17 14:00:00,4.0,2056.12,0.14,90.48,36.12,9.78,64.06,88.63,37.49
2025-03-17 15:00:00,5.0,2883.91,6.15,115.16,2.82,12.4,95.81,131.38,50.66
2025-03-17 16:00:00,5.0,3391.27,13.97,119.27,0.13,13.83,124.65,170.43,66.88
2025-03-17 17:00:00,5.0,3738.4,20.34,122.01,0.02,16.69,151.0,205.69,94.23
2025-03-17 18:00:00,5.0,4112.24,28.39,128.87,0.0,20.27,172.03,231.96,123.62
2025-03-17 19:00:00,5.0,4112.24,29.06,131.61,0.0,20.98,171.16,226.69,139.83
2025-03-17 20:00:00,5.0,3685.0,21.9,120.64,0.02,18.6,154.93,202.81,141.86
2025-03-17 21:00:00,5.0,3124.24,12.96,104.19,0.13,14.31,134.67,176.17,128.69
2025-03-17 22:00:00,5.0,2536.77,5.09,89.11,1.06,11.8,111.05,147.14,126.66
2025-03-17 23:00:00,5.0,2109.53,1.2,78.14,4.38,12.04,95.14,129.05,145.91
2025-03-18 00:00:00,5.0,1922.61,0.48,71.97,7.87,12.76,91.79,126.31,166.18
2025-03-18 01:00:00,5.0,2056.12,1.36,78.14,5.1,14.42,100.94,139.71,188.47
2025-03-18 02:00:00,5.0,2510.07,13.97,85.68,0.59,17.64,116.2,161.72,202.66
2025-03-18 03:00:00,5.0,3337.86,50.07,87.05,5.36,21.22,133.75,185.26,200.63
2025-03-18 04:00:00,5.0,4058.84,78.68,87.05,13.23,20.5,153.15,209.61,162.12
2025-03-18 05:00:00,5.0,4379.27,70.63,104.19,28.97,18.12,178.32,238.16,117.54
2025-03-18 06:00:00,5.0,4058.84,38.44,119.27,77.25,18.12,209.28,268.31,106.39
2025-03-18 07:00:00,4.0,847.82,2.37,15.42,151.63,5.9,47.22,62.24,26.6
2025-03-18 08:00:00,4.0,547.41,0.68,5.1,158.79,3.25,25.18,34.62,13.93
2025-03-18 09:00:00,4.0,500.68,0.49,4.11,158.79,2.83,22.96,31.37,11.53
2025-03-18 10:00:00,4.0,487.33,0.41,4.41,157.36,2.77,21.26,29.29,10.26
2025-03-18 11:00:00,4.0,494.0,0.41,5.74,154.5,2.98,20.52,28.61,9.88
2025-03-18 12:00:00,4.0,520.71,0.34,8.23,148.77,3.34,20.06,28.44,10.01
2025-03-18 13:00:00,3.0,1121.52,0.47,45.24,97.27,6.02,30.89,44.57,20.77
2025-03-18 14:00:00,4.0,2109.53,0.22,95.96,30.76,10.49,57.33,81.49,37.49
2025-03-18 15:00:00,5.0,2910.61,4.36,119.27,3.4,13.95,91.35,125.47,53.7
2025-03-18 16:00:00,5.0,3231.05,6.03,117.9,1.43,15.5,122.55,165.22,68.9
2025-03-18 17:00:00,5.0,3417.97,6.59,117.9,1.03,15.74,146.25,196.83,79.04
2025-03-18 18:00:00,5.0,3685.0,9.83,123.38,0.37,14.9,163.9,219.96,87.14
2025-03-18 19:00:00,5.0,3631.59,9.95,123.38,0.35,12.99,162.61,218.2,94.23
2025-03-18 20:00:00,5.0,3364.56,6.09,115.16,0.79,11.56,153.33,206.6,103.35
2025-03-18 21:00:00,5.0,3044.13,2.65,104.19,2.03,11.32,144.66,195.71,118.55
2025-03-18 22:00:00,5.0,2696.99,1.02,91.85,4.2,11.44,129.38,176.01,129.7
2025-03-18 23:00:00,5.0,2323.15,0.34,78.14,8.4,11.09,111.74,153.47,137.81
2025-03-19 00:00:00,5.0,1976.01,0.18,66.49,12.16,10.97,98.76,137.01,143.89
2025-03-19 01:00:00,5.0,1895.9,0.6,64.43,8.94,10.85,93.9,132.14,141.86
2025-03-19 02:00:00,5.0,2162.93,9.61,67.17,1.15,10.73,97.13,138.63,121.59
2025-03-19 03:00:00,5.0,2723.69,37.1,64.43,5.28,10.85,101.89,145.84,93.22
2025-03-19 04:00:00,5.0,2964.02,51.41,63.06,14.48,10.97,101.68,144.52,72.96
2025-03-19 05:00:00,5.0,3177.64,47.83,74.03,28.97,11.92,112.74,157.74,63.84
2025-03-19 06:00:00,5.0,3017.43,29.5,82.25,63.66,12.87,127.82,172.81,58.77
2025-03-19 07:00:00,3.0,674.25,1.98,13.37,125.89,4.35,24.1,35.05,16.09
2025-03-19 08:00:00,3.0,480.65,0.52,6.6,133.04,3.1,16.54,24.67,10.77
2025-03-19 09:00:00,3.0,467.3,0.25,7.11,128.75,3.1,14.3,22.04,9.75
2025-03-19 10:00:00,3.0,460.62,0.23,7.63,123.02,3.1,12.27,19.81,8.99
2025-03-19 11:00:00,3.0,460.62,0.37,7.11,124.45,2.92,12.02,19.18,8.61
2025-03-19 12:00:00,3.0,453.95,0.32,6.6,124.45,2.65,12.08,18.92,8.61
2025-03-19 13:00:00,3.0,700.95,0.31,22.62,101.57,4.17,18.22,28.29,16.97
2025-03-19 14:00:00,3.0,1094.82,0.01,40.78,71.53,6.68,32.89,49.83,31.41
2025-03-19 15:00:00,4.0,1428.6,0.0,50.72,54.36,8.58,50.81,74.96,42.56
2025-03-19 16:00:00,4.0,1708.98,0.0,56.21,40.77,9.3,70.62,101.65,50.66
2025-03-19 17:00:00,5.0,2189.64,0.41,74.71,18.42,9.66,96.0,134.82,56.74
2025-03-19 18:00:00,5.0,2883.91,7.93,95.96,1.4,9.42,119.75,163.99,59.78
2025-03-19 19:00:00,5.0,3337.86,17.88,104.19,0.02,8.34,127.81,170.39,60.8
2025-03-19 20:00:00,5.0,3337.86,18.78,104.19,0.02,7.21,123.41,162.61,64.34
2025-03-19 21:00:00,5.0,3070.83,14.31,95.96,0.05,6.32,115.31,152.57,69.92
2025-03-19 22:00:00,5.0,2643.59,9.39,86.37,0.14,7.63,101.74,137.13,89.17
2025-03-19 23:00:00,5.0,2269.74,5.7,78.14,0.5,9.78,89.77,123.65,114.5
2025-03-20 00:00:00,5.0,2029.42,3.69,72.66,1.11,10.97,84.81,118.4,131.73
2025-03-20 01:00:00,5.0,2082.82,5.53,74.03,0.58,12.64,90.66,127.04,149.97
2025-03-20 02:00:00,5.0,2510.07,20.79,78.14,0.54,15.97,105.53,147.97,170.23
2025-03-20 03:00:00,5.0,3337.86,57.22,79.51,6.17,19.79,123.73,172.45,174.28
2025-03-20 04:00:00,5.0,4005.43,84.04,80.2,13.59,17.88,139.54,190.88,127.67
2025-03-20 05:00:00,5.0,4219.06,74.21,97.33,28.25,15.74,151.72,202.25,87.14
2025-03-20 06:00:00,5.0,3631.59,38.44,104.19,70.81,14.78,151.9,195.38,67.89
2025-03-20 07:00:00,3.0,640.87,2.12,11.31,130.18,3.64,21.81,30.6,14.44
2025-03-20 08:00:00,3.0,440.6,0.63,4.07,138.76,2.15,14.5,20.47,8.61
2025-03-20 09:00:00,4.0,427.25,0.5,3.68,141.62,2.03,13.85,19.62,7.66
2025-03-20 10:00:00,4.0,440.6,0.47,3.94,143.05,2.06,13.3,19.12,7.16
2025-03-20 11:00:00,4.0,460.62,0.47,4.71,144.48,2.21,13.26,19.14,7.03
2025-03-20 12:00:00,4.0,480.65,0.38,6.08,143.05,2.35,13.07,18.98,7.22
2025-03-20 13:00:00,3.0,934.6,0.67,35.64,100.14,4.71,21.88,32.16,17.48
2025-03-20 14:00:00,3.0,1642.23,0.03,73.34,47.21,8.46,42.12,61.56,32.93
2025-03-20 15:00:00,4.0,2296.45,0.34,97.33,18.06,11.92,69.43,99.12,48.13
2025-03-20 16:00:00,5.0,2643.59,1.44,102.82,6.97,13.47,93.08,132.55,60.29
2025-03-20 17:00:00,5.0,3070.83,5.92,109.67,1.42,14.54,119.58,167.75,71.94
2025-03-20 18:00:00,5.0,3738.4,16.54,123.38,0.06,15.26,148.27,202.93,83.09
2025-03-20 19:00:00,5.0,4005.43,21.68,132.98,0.02,13.71,160.11,213.57,87.14
2025-03-20 20:00:00,5.0,3845.21,17.21,127.49,0.05,11.21,154.01,203.73,86.13
2025-03-20 21:00:00,5.0,3337.86,10.17,111.04,0.25,9.66,140.75,187.29,92.21
2025-03-20 22:00:00,5.0,2670.29,3.16,91.85,2.35,8.94,116.64,157.86,105.38
2025-03-20 23:00:00,5.0,2109.53,0.27,70.6,11.18,8.23,94.72,131.39,112.47
2025-03-21 00:00:00,5.0,1789.09,0.05,55.52,19.85,7.75,81.91,115.39,113.49
2025-03-21 01:00:00,5.0,1735.69,0.18,54.15,16.63,7.99,78.27,111.39,110.45
2025-03-21 02:00:00,5.0,2136.23,8.61,63.75,2.86,10.01,86.39,124.11,105.38
2025-03-21 03:00:00,5.0,3097.53,44.7,65.12,7.6,12.99,103.1,146.23,99.3
2025-03-21 04:00:00,5.0,3952.03,69.74,77.46,16.99,14.31,123.39,170.71,84.1
2025-03-21 05:00:00,5.0,4325.87,57.22,101.45,40.05,14.31,145.49,194.45,63.33
2025-03-21 06:00:00,5.0,3952.03,27.05,104.19,103.0,13.83,164.74,210.49,51.17
2025-03-21 07:00:00,4.0,834.47,1.68,10.71,147.34,3.81,23.65,35.93,12.16
2025-03-21 08:00:00,4.0,480.65,0.6,3.86,141.62,1.91,11.16,18.88,6.4
