feature,importance
co,0
o3_rolling_min_3h,0
no2_rolling_mean_6h,0
no2_rolling_std_6h,0
no2_rolling_min_6h,0
no2_rolling_max_6h,0
no2_rolling_25p_6h,0
no2_rolling_75p_6h,0
no2_rolling_mean_12h,0
no2_rolling_std_12h,0
no2_rolling_min_12h,0
no2_rolling_max_12h,0
no2_rolling_25p_12h,0
no2_rolling_75p_12h,0
o3_rolling_mean_3h,0
o3_rolling_std_3h,0
o3_rolling_max_3h,0
no,0
o3_rolling_25p_3h,0
o3_rolling_75p_3h,0
o3_rolling_mean_6h,0
o3_rolling_std_6h,0
o3_rolling_min_6h,0
o3_rolling_max_6h,0
o3_rolling_25p_6h,0
o3_rolling_75p_6h,0
o3_rolling_mean_12h,0
o3_rolling_std_12h,0
o3_rolling_min_12h,0
o3_rolling_max_12h,0
o3_rolling_25p_12h,0
o3_rolling_75p_12h,0
no2_rolling_75p_3h,0
no2_rolling_25p_3h,0
no2_rolling_max_3h,0
no2_rolling_min_3h,0
pm10_rolling_max_6h,0
pm10_rolling_25p_6h,0
pm10_rolling_75p_6h,0
pm10_rolling_mean_12h,0
pm10_rolling_std_12h,0
pm10_rolling_min_12h,0
pm10_rolling_max_12h,0
pm10_rolling_25p_12h,0
pm10_rolling_75p_12h,0
co_rolling_mean_3h,0
co_rolling_std_3h,0
co_rolling_min_3h,0
co_rolling_max_3h,0
co_rolling_25p_3h,0
co_rolling_75p_3h,0
co_rolling_mean_6h,0
co_rolling_std_6h,0
co_rolling_min_6h,0
co_rolling_max_6h,0
co_rolling_25p_6h,0
co_rolling_75p_6h,0
co_rolling_mean_12h,0
co_rolling_std_12h,0
co_rolling_min_12h,0
co_rolling_max_12h,0
co_rolling_25p_12h,0
co_rolling_75p_12h,0
no2_rolling_mean_3h,0
no2_rolling_std_3h,0
temperature_rolling_mean_3h,0
temperature_rolling_std_3h,0
temperature_rolling_min_3h,0
relative_humidity_rolling_75p_12h,0
wind_speed_rolling_std_3h,0
wind_speed_rolling_min_3h,0
wind_speed_rolling_max_3h,0
wind_speed_rolling_25p_3h,0
wind_speed_rolling_75p_3h,0
wind_speed_rolling_mean_6h,0
wind_speed_rolling_std_6h,0
wind_speed_rolling_min_6h,0
wind_speed_rolling_max_6h,0
wind_speed_rolling_25p_6h,0
wind_speed_rolling_75p_6h,0
wind_speed_rolling_mean_12h,0
wind_speed_rolling_std_12h,0
wind_speed_rolling_min_12h,0
wind_speed_rolling_max_12h,0
wind_speed_rolling_25p_12h,0
wind_speed_rolling_75p_12h,0
temp_humidity_interaction,0
temp_humidity_ratio,0
pm2_5_pm10_ratio,0
pm2_5_pm10_sum,0
temp_pm2_5_interaction,0
wind_pm2_5_interaction,0
aqi_temp_interaction,0
aqi_humidity_interaction,0
pm2_5_pm10_diff,0
heat_index,0
comfort_index,0
pollution_index,0
wind_speed_rolling_mean_3h,0
relative_humidity_rolling_25p_12h,0
temperature_rolling_max_3h,0
relative_humidity_rolling_max_12h,0
temperature_rolling_25p_3h,0
temperature_rolling_75p_3h,0
temperature_rolling_mean_6h,0
temperature_rolling_std_6h,0
temperature_rolling_min_6h,0
temperature_rolling_max_6h,0
temperature_rolling_25p_6h,0
temperature_rolling_75p_6h,0
temperature_rolling_mean_12h,0
temperature_rolling_std_12h,0
temperature_rolling_min_12h,0
temperature_rolling_max_12h,0
temperature_rolling_25p_12h,0
temperature_rolling_75p_12h,0
relative_humidity_rolling_mean_3h,0
relative_humidity_rolling_std_3h,0
relative_humidity_rolling_min_3h,0
relative_humidity_rolling_max_3h,0
relative_humidity_rolling_25p_3h,0
relative_humidity_rolling_75p_3h,0
relative_humidity_rolling_mean_6h,0
relative_humidity_rolling_std_6h,0
relative_humidity_rolling_min_6h,0
relative_humidity_rolling_max_6h,0
relative_humidity_rolling_25p_6h,0
relative_humidity_rolling_75p_6h,0
relative_humidity_rolling_mean_12h,0
relative_humidity_rolling_std_12h,0
relative_humidity_rolling_min_12h,0
pm10_rolling_min_6h,0
pm10_rolling_std_6h,0
pm10_rolling_mean_6h,0
is_afternoon,0
is_night,0
is_spring,0
is_summer,0
is_autumn,0
is_winter,0
aqi_category_lag_1h,0
aqi_category_lag_2h,0
aqi_category_lag_3h,0
aqi_category_lag_6h,0
aqi_category_lag_12h,0
pm2_5_lag_1h,0
pm2_5_lag_2h,0
pm2_5_lag_3h,0
pm2_5_lag_6h,0
pm2_5_lag_12h,0
pm10_lag_1h,0
pm10_lag_2h,0
pm10_lag_3h,0
pm10_lag_6h,0
pm10_lag_12h,0
co_lag_1h,0
co_lag_2h,0
co_lag_3h,0
co_lag_6h,0
co_lag_12h,0
no2_lag_1h,0
no2_lag_2h,0
no2_lag_3h,0
no2_lag_6h,0
is_evening,0
is_morning,0
o3_lag_1h,0
day_of_week_cos,0
no2,0
o3,0
so2,0
pm2_5,0
pm10,0
nh3,0
temperature,0
dew_point,0
relative_humidity,0
precipitation,0
snow,0
wind_direction,0
wind_speed,0
wpgt,0
pressure,0
tsun,0
coco,0
hour,0
day,0
month,0
day_of_week,0
is_weekend,0
hour_sin,0
hour_cos,0
day_sin,0
day_cos,0
month_sin,0
month_cos,0
day_of_week_sin,0
no2_lag_12h,0
o3_lag_2h,0
pm10_rolling_75p_3h,0
aqi_category_rolling_25p_6h,0
aqi_category_rolling_mean_12h,0
aqi_category_rolling_std_12h,0
aqi_category_rolling_min_12h,0
aqi_category_rolling_max_12h,0
aqi_category_rolling_25p_12h,0
aqi_category_rolling_75p_12h,0
pm2_5_rolling_mean_3h,0
pm2_5_rolling_std_3h,0
pm2_5_rolling_min_3h,0
pm2_5_rolling_max_3h,0
pm2_5_rolling_25p_3h,0
pm2_5_rolling_75p_3h,0
pm2_5_rolling_mean_6h,0
pm2_5_rolling_std_6h,0
pm2_5_rolling_min_6h,0
pm2_5_rolling_max_6h,0
pm2_5_rolling_25p_6h,0
pm2_5_rolling_75p_6h,0
pm2_5_rolling_mean_12h,0
pm2_5_rolling_std_12h,0
pm2_5_rolling_min_12h,0
pm2_5_rolling_max_12h,0
pm2_5_rolling_25p_12h,0
pm2_5_rolling_75p_12h,0
pm10_rolling_mean_3h,0
pm10_rolling_std_3h,0
pm10_rolling_min_3h,0
pm10_rolling_max_3h,0
pm10_rolling_25p_3h,0
aqi_category_rolling_75p_6h,0
aqi_category_rolling_max_6h,0
o3_lag_3h,0
aqi_category_rolling_min_6h,0
o3_lag_6h,0
o3_lag_12h,0
temperature_lag_1h,0
temperature_lag_2h,0
temperature_lag_3h,0
temperature_lag_6h,0
temperature_lag_12h,0
relative_humidity_lag_1h,0
relative_humidity_lag_2h,0
relative_humidity_lag_3h,0
relative_humidity_lag_6h,0
relative_humidity_lag_12h,0
aqi_category_diff_1h,0
aqi_category_diff_3h,0
aqi_category_diff_6h,0
pm2_5_diff_1h,0
pm2_5_diff_3h,0
pm2_5_diff_6h,0
pm10_diff_1h,0
pm10_diff_3h,0
pm10_diff_6h,0
aqi_category_rolling_mean_3h,0
aqi_category_rolling_std_3h,0
aqi_category_rolling_min_3h,0
aqi_category_rolling_max_3h,0
aqi_category_rolling_25p_3h,0
aqi_category_rolling_75p_3h,0
aqi_category_rolling_mean_6h,0
aqi_category_rolling_std_6h,0
wind_chill,0
